hs_code,description,heading,subheading,first_period,last_period,months_with_trade,longest_quiet_months,source_rows,total_value_cad,stated_termination,stated_introduction,stated_termination_matches_data,stated_termination_is_this_life
3004200071,"Ivermectin, for vet use, in dosage",3004,300420,198901,200112,155,1,491,241484067,201112,,no,no
3004200071,"Ivermectin, for veterinary use, in dosage",3004,300420,200201,201112,119,1,624,106145542,201112,,yes,yes
3004200079,"Antibiotics, nes, for vet use, in dosage",3004,300420,198901,200112,156,0,4056,259930879,201112,,no,no
3004200079,"Antibiotics, nes, for veterinary use, in dosage",3004,300420,200201,201112,120,0,4098,481456969,201112,,yes,yes
3004200080,"Medicaments,cont ivermectin,for veterinary use,doses/pack frs,o/t No 30.02/05/06",3004,300420,201201,202606,174,0,848,81680403,,,,
3004200090,"Medi,cont antibiotics,for veterinary use,doses/pack frs,o/t No 30.02/05/06,nes",3004,300420,201201,202606,174,0,8380,1547690879,,,,
3004310000,"Medicaments,cont insulin,in doses/forms/pack f retail sale,o/t No 30.02/05/06",3004,300431,201201,202606,174,0,2495,6403848742,,,,
3004310010,"Insulin, w/n mixed w zinc, globin or protamine, prepr for parentl admin, in dos",3004,300431,199801,200112,48,0,199,259900492,201112,,no,no
3004310010,"Insulin, w/n mixed w zinc,globin or protamine, prepr for parentl admin,in dosage",3004,300431,200201,201112,120,0,839,1510783285,201112,,yes,yes
3004310090,"Insulin, nes, for human use, in dosage",3004,300431,199801,201112,149,2,485,7272310,201112,,yes,yes
3004311000,"Insulin, w/n mixed w zinc, globin or protamine, prepr for parentl admin, in dos",3004,300431,198801,199712,120,0,433,266955474,199712,,yes,yes
3004319900,"Insulin, nes, for human use, in dosage",3004,300431,198801,199712,63,8,84,1727839,199712,,yes,yes
3004320000,"Medi,cont corticosteroid horm/deriv/struct ana,in doses/frs,o/t No 30.02/05/06",3004,300432,201201,202606,174,0,5697,5364157338,,,,
3004320010,"Adrenal cortical horm, cont more than 23% of abs ethyl alc by vol, in dosage",3004,300432,199803,200112,14,10,15,929148,200112,,yes,yes
3004320011,"Hydrocortisone, for human use, in dosage",3004,300432,200201,201112,119,1,412,30740274,201112,,yes,yes
3004320019,"Medicaments containing corticosteroid hormones, for human use, nes",3004,300432,200201,201112,120,0,1678,578742262,201112,,yes,yes
3004320020,"Corticosteriod hormones, for veterinary use, in dosage",3004,300432,200201,201112,103,4,238,13895452,201112,,yes,yes
3004320081,"Hydrocortisone, for human use, in dosage",3004,300432,199801,200112,48,0,165,10422499,200112,,yes,yes
3004320082,"Betamethasone, for human use, in dosage",3004,300432,200011,200111,2,11,2,25,200112,,no,yes
3004320089,"Adrenal cortical hormones, nes, for human use, in dosage",3004,300432,199801,200112,48,0,487,128397239,200112,,yes,yes
3004320090,"Adrenal cortical hormones, for vet use, in dosage",3004,300432,199801,200112,48,0,135,38149408,200112,,yes,yes
3004321000,"Adrenal cortical horm, cont more than 23% of abs ethyl alc by vol, in dosage",3004,300432,198906,199712,13,60,20,1805132,199712,,yes,yes
3004329011,"Hydrocortisone, for human use, in dosage",3004,300432,198801,199712,120,0,415,23749181,199712,,yes,yes
3004329012,"Betamethasone, for human use, in dosage",3004,300432,198803,199706,48,17,63,1190222,199712,,no,yes
3004329019,"Adrenal cortical hormones, nes, for human use, in dosage",3004,300432,198801,199712,120,0,850,195552129,199712,,yes,yes
3004329020,"Adrenal cortical hormones, for vet use, in dosage",3004,300432,198802,199712,119,0,341,9284228,199712,,yes,yes
3004390010,"Epinephrine & its sol & pituitary extrc, prepr for parentl admin in hum, in dos",3004,300439,199801,201112,164,1,689,220635457,201112,,yes,yes
3004390011,"Medi,cont epinephrine/solutions/pituitary extracts,doses/frs,o/t No 30.02/05/06",3004,300439,201201,202606,171,1,550,759194208,,,,
3004390012,"Medi,cont anterior pituitary hormones,f human,doses/pack frs,o/t No 30.02/05/06",3004,300439,201201,202605,150,3,311,184895196,,,,
3004390013,"Medi,cont unmixed single estrogens,for human,doses/pack frs,o/t No 30.02/05/06",3004,300439,201201,202606,174,0,959,693268417,,,,
3004390019,"Medi,cont horm/prod No 29.37,f human use,doses/pack frs,o/t No 30.02/05/06,nes",3004,300439,201201,202606,174,0,7097,9059598343,,,,
3004390081,"Anterior pituitary hormones, for human use, in dosage",3004,300439,199801,201112,136,4,367,199276643,201112,,yes,yes
3004390082,"Posterior pituitary hormones, for human use, in dosage",3004,300439,199806,201112,133,6,242,19967091,201112,,yes,yes
3004390083,"Unmixed single estrogens, for human use, in dosage",3004,300439,199801,201112,167,1,623,416139189,201112,,yes,yes
3004390084,"Unmixed single progestational hormones, for human use, in dosage",3004,300439,199801,201112,137,5,268,34360926,201112,,yes,yes
3004390085,"Hormones, nes, for human use, in dosage",3004,300439,199801,201112,168,0,3591,3103568844,201112,,yes,yes
3004390090,"Hormones, nes, for vet use, in dosage",3004,300439,199801,200112,48,0,1055,55224451,,,,
3004390090,"Hormones, nes, for veterinary use, in dosage",3004,300439,200201,201112,120,0,2423,201957605,,,,
3004390090,"Medi,cont hormones/prod No 29.37,f vet use,doses/pack frs,o/t No 30.02/05/06,nes",3004,300439,201201,202606,174,0,6536,1137588092,,,,
3004391000,"Epinephrine & its sol & pituitary extrc, prepr for parentl admin in hum, in dos",3004,300439,198802,199712,116,1,390,28343955,199712,,yes,yes
