record_id,span_id,flow,hs_code,description,first_period,last_period,value_cad,family_id,family_anchor_code,family_anchor_first_traded,family_size,family_commodities,family_display_number,family_codes
EXR-30049090-201801,exports:3004.90.90:2018-01,exports,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,60805636213,EX-30049010-198801,3004.90.10,198801,4,4,17,3004.90.00;3004.90.10;3004.90.20;3004.90.90
EXR-30051000-198801,exports:3005.10.00:1988-01,exports,3005.10.00,Dressings and other articles having an adhesive layer,198801,202606,592045943,EX-30051000-198801,3005.10.00,198801,1,1,18,3005.10.00
EXR-30059000-198801,exports:3005.90.00:1988-01,exports,3005.90.00,"Dressings & similar articles,impreg or coated or packaged for med use, nes",198801,202606,1040018101,EX-30059000-198801,3005.90.00,198801,1,1,19,3005.90.00
EXR-30061000-198801,exports:3006.10.00:1988-01,exports,3006.10.00,"Suture materials,sterile;laminaria, sterie;haemostatics,sterile,surg or dental",198801,200106,52713717,EX-30061000-198801,3006.10.00,198801,1,1,20,3006.10.00
EXR-30061000-200201,exports:3006.10.00:2002-01,exports,3006.10.00,"Sterile suture mat;sterile laminaria;sterile absorb haemostatics;surg/dental,etc",200201,202606,28342079,EX-30061000-198801,3006.10.00,198801,1,1,20,3006.10.00
EXR-30062000-198801,exports:3006.20.00:1988-01,exports,3006.20.00,Blood-grouping reagents,198801,202112,72350467,EX-30062000-198801,3006.20.00,198801,1,1,21,3006.20.00
EXR-30063000-198801,exports:3006.30.00:1988-01,exports,3006.30.00,"Opacifying prep, x-ray; diagnostic reagents, designed for admin to patients",198801,202606,5171928861,EX-30063000-198801,3006.30.00,198801,1,1,22,3006.30.00
EXR-30064000-198801,exports:3006.40.00:1988-01,exports,3006.40.00,Dental cements & other dental fillings; bone reconstruction cements,198801,202606,708003729,EX-30064000-198801,3006.40.00,198801,1,1,23,3006.40.00
EXR-30065000-198801,exports:3006.50.00:1988-01,exports,3006.50.00,First-aid boxes and kits,198801,202606,55762354,EX-30065000-198801,3006.50.00,198801,1,1,24,3006.50.00
EXR-30066000-198801,exports:3006.60.00:1988-01,exports,3006.60.00,"Contraceptive prep based on hormones, on other prod of No 29.37 or spermicides",198801,200112,83095477,EX-30066000-198801,3006.60.00,198801,1,1,25,3006.60.00
EXR-30066000-200201,exports:3006.60.00:2002-01,exports,3006.60.00,"Chem contraceptive preparations,based on hormones/o prod of No 29.37/spermicides",200201,202606,1271478326,EX-30066000-198801,3006.60.00,198801,1,1,25,3006.60.00
EXR-30067000-200205,exports:3006.70.00:2002-05,exports,3006.70.00,"Gel prep f human/vet medicine as lub f parts of body f oper/examination,etc",200205,202606,74625926,EX-30067000-200205,3006.70.00,200205,1,1,30,3006.70.00
EXR-30068000-200209,exports:3006.80.00:2002-09,exports,3006.80.00,Waste pharmaceuticals,200209,200612,4595187,EX-30068000-200209,3006.80.00,200209,2,2,31,3006.80.00;3006.92.00
EXR-30069100-200702,exports:3006.91.00:2007-02,exports,3006.91.00,Appliances identifiable for ostomy use,200702,202606,10551487,EX-30069100-200702,3006.91.00,200702,1,1,32,3006.91.00
EXR-30069200-200703,exports:3006.92.00:2007-03,exports,3006.92.00,"Waste pharmaceuticals, nes",200703,202606,20697596,EX-30068000-200209,3006.80.00,200209,2,2,31,3006.80.00;3006.92.00
EXR-30069300-202201,exports:3006.93.00:2022-01,exports,3006.93.00,"Placebos,blinded or double blinded clinical trial kits, put up in measured doses",202201,202606,214588047,EX-30069300-202201,3006.93.00,202201,1,1,46,3006.93.00
