record_id,span_id,flow,hs_code,description,first_period,last_period,value_cad,family_id,family_anchor_code,family_anchor_first_traded,family_size,family_commodities,family_display_number,family_codes
IMR-3004200064-198801,imports:3004.20.00.64:1988-01,imports,3004.20.00.64,"Rifamycins, for human use, in dosage",198801,199106,510375,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200064-199112,imports:3004.20.00.64:1991-12,imports,3004.20.00.64,"Lincomycin, for human use, in dosage",199112,199112,219,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200065-198812,imports:3004.20.00.65:1988-12,imports,3004.20.00.65,"Lincomycin, for human use, in dosage",198812,198904,128029,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200066-198801,imports:3004.20.00.66:1988-01,imports,3004.20.00.66,"Spectinomycin, for human use, in dosage",198801,199101,185394,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200069-198801,imports:3004.20.00.69:1988-01,imports,3004.20.00.69,"Antibiotics, nes, for human use, in dosage",198801,201112,2133828374,IM-3004200010-198801,3004.20.00.10,198801,14,14,23,3004.20.00.10;3004.20.00.19;3004.20.00.41;3004.20.00.42;3004.20.00.49;3004.20.00.51;3004.20.00.52;3004.20.00.59;3004.20.00.61;3004.20.00.62;3004.20.00.64;3004.20.00.65;3004.20.00.66;3004.20.00.69
IMR-3004200070-198801,imports:3004.20.00.70:1988-01,imports,3004.20.00.70,"Antibiotics, nes, for vet use, in dosage",198801,198812,4291483,IM-3004200070-198801,3004.20.00.70,198801,3,3,28,3004.20.00.70;3004.20.00.79;3004.20.00.90
IMR-3004200071-198901,imports:3004.20.00.71:1989-01,imports,3004.20.00.71,"Ivermectin, for vet use, in dosage",198901,200112,241484067,IM-3004200071-198901,3004.20.00.71,198901,2,2,78,3004.20.00.71;3004.20.00.80
IMR-3004200071-200201,imports:3004.20.00.71:2002-01,imports,3004.20.00.71,"Ivermectin, for veterinary use, in dosage",200201,201112,106145542,IM-3004200071-198901,3004.20.00.71,198901,2,2,78,3004.20.00.71;3004.20.00.80
IMR-3004200079-198901,imports:3004.20.00.79:1989-01,imports,3004.20.00.79,"Antibiotics, nes, for vet use, in dosage",198901,200112,259930879,IM-3004200070-198801,3004.20.00.70,198801,3,3,28,3004.20.00.70;3004.20.00.79;3004.20.00.90
IMR-3004200079-200201,imports:3004.20.00.79:2002-01,imports,3004.20.00.79,"Antibiotics, nes, for veterinary use, in dosage",200201,201112,481456969,IM-3004200070-198801,3004.20.00.70,198801,3,3,28,3004.20.00.70;3004.20.00.79;3004.20.00.90
IMR-3004200080-201201,imports:3004.20.00.80:2012-01,imports,3004.20.00.80,"Medicaments,cont ivermectin,for veterinary use,doses/pack frs,o/t No 30.02/05/06",201201,202606,81680403,IM-3004200071-198901,3004.20.00.71,198901,2,2,78,3004.20.00.71;3004.20.00.80
