uid,orig_hs_code,family_id,resolution_source,resolution_detail,official_adjudicated,official_agrees,boundary_crossed,confidence_tier,departure_from_official
IMR-3003399900-198801,3003.39.99.00,IM-3003391000-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,approve;decided,
IMR-3003400000-199801,3003.40.00.00,IM-3003409000-198802,analyst,the analyst accepted the proposal,yes,yes,yes,approve,
IMR-3003401000-199203,3003.40.10.00,IM-3003409000-198802,analyst,the analyst accepted the proposal | the analyst accepted the proposal | the analyst accepted the proposal,yes,yes,yes,approve,
IMR-3003409000-198802,3003.40.90.00,IM-3003409000-198802,analyst,the analyst accepted the proposal | the analyst accepted the proposal,yes,yes,yes,approve,
IMR-3003410000-201706,3003.41.00.00,IM-3003410000-201706,delivery,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",no,,no,no_termination_declared,
IMR-3003420000-202209,3003.42.00.00,IM-3003420000-202209,delivery,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",no,,no,no_termination_declared,
IMR-3003430000-201701,3003.43.00.00,IM-3003430000-201701,delivery,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",no,,no,no_termination_declared,
IMR-3003490000-201701,3003.49.00.00,IM-3003409000-198802,never_retired,,not_applicable,,not_applicable,,
IMR-3003600000-201701,3003.60.00.00,IM-3003600000-201701,delivery,"the delivery declares no termination for this line and the number was never reused, so trade ceased without the classification ending",no,,no,no_termination_declared,
IMR-3003900010-199801,3003.90.00.10,IM-3003901000-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3003900020-199801,3003.90.00.20,IM-3003901000-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3003900030-201201,3003.90.00.30,IM-3003909910-199501,never_retired,,not_applicable,,not_applicable,,
IMR-3003900030-201701,3003.90.00.30,IM-3003909910-199501,never_retired,,not_applicable,,not_applicable,,
IMR-3003900090-201201,3003.90.00.90,IM-3003901000-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3003900090-201701,3003.90.00.90,IM-3003901000-198801,never_retired,,not_applicable,,not_applicable,,
IMR-3003900091-199801,3003.90.00.91,IM-3003909910-199501,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3003900099-199801,3003.90.00.99,IM-3003901000-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3003900099-200201,3003.90.00.99,IM-3003901000-198801,official_record,"named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,decided,
IMR-3003901000-198801,3003.90.10.00,IM-3003901000-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,approve;decided,
IMR-3003909100-198801,3003.90.91.00,IM-3003901000-198801,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,approve;decided,
IMR-3003909900-198801,3003.90.99.00,IM-3003901000-198801,analyst;official_record,"the analyst accepted the proposal | the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,approve;decided,
IMR-3003909910-199501,3003.90.99.10,IM-3003909910-199501,analyst;official_record,"the analyst accepted the proposal | named outright by Canada's ten-digit concordance, 2011 to 2012",yes,yes,yes,approve;decided,
